Brand,total_products,avg_rating,total_reviews,avg_reviews,avg_price,max_price,min_price,per,avg_rating_nor,avg_reviews_nor,avg_price_nor,total_productst_nor
aimilia,3,4.733,85,28.333,18.693,20.86,17.58,0.00012220457045093486,0.2647584451139727,-0.1993322074630797,-0.32816979692892323,-0.22690999885996624
airee_fairee,3,4.8,54,18.0,8.877,8.98,8.8,0.00012220457045093486,0.5053108109636699,-0.28706271498785485,-0.6310302970195418,-0.22690999885996624
aisprts,7,4.629,242,34.571,14.663,15.79,10.32,0.00028514399771884804,-0.10863627202585525,-0.1463695726097411,-0.4525104464160048,-0.12472569116127075
aitos,8,4.275,625,78.125,15.095,15.75,14.32,0.0003258788545358263,-1.379614443828727,0.22341795518799998,-0.4391816224511365,-0.09917961423659688
aitosula,18,4.656,530,29.444,18.387,23.03,14.34,0.0007332274227056092,-0.011697258922245681,-0.1898994586137595,-0.3376110472373716,0.15628115501014186
aiwensi,7,4.9,73,10.429,33.656,49.71,21.68,0.00028514399771884804,0.8643441928288906,-0.3513429503957783,0.13349500165053105,-0.12472569116127075
aixy,5,4.3,212,42.4,19.96,40.11,14.63,0.00020367428408489145,-1.2898560983624243,-0.0798988338686722,-0.2890780840504785,-0.1758178450106185
aiyihan,3,4.9,56,18.667,13.087,14.56,12.32,0.00012220457045093486,0.8643441928288906,-0.2813996695490641,-0.5011359708804317,-0.22690999885996624
aiyue,1,4.9,16,16.0,11.59,11.59,11.59,4.073485681697829e-05,0.8643441928288906,-0.30404336098123047,-0.5473240483698018,-0.278002152709314
aizesi,4,4.6,766,191.5,13.642,15.49,12.76,0.00016293942726791315,-0.21275595276676842,1.1860083249374809,-0.48401213453667735,-0.20136392193529237
ajisai,3,4.8,48,16.0,19.893,24.14,17.45,0.00012220457045093486,0.5053108109636699,-0.30404336098123047,-0.29114528591540023,-0.22690999885996624
akalnny,3,4.933,33,11.0,35.813,36.15,35.47,0.00012220457045093486,0.982825208844411,-0.34649497596466955,0.20004656019733882,-0.22690999885996624
akilex,13,4.931,225,17.308,22.934,35.11,0.0,0.0005295531386207178,0.9756445412071074,-0.2929380185015628,-0.19731900425529725,0.02855077038677249
